Wave Index,Frame Number,Center of Mass X Coord
1,41,853.0
1,41,853.0
1,42,846.0
1,42,846.0
1,43,838.0
1,43,838.0
1,44,832.0
1,44,832.0
1,45,823.0
1,45,823.0
1,46,818.0
1,46,818.0
1,47,812.0
1,47,812.0
1,48,804.0
1,48,804.0
1,49,797.0
1,49,797.0
1,50,789.0
1,50,789.0
1,51,783.0
1,51,783.0
1,52,774.0
1,52,774.0
1,53,770.0
1,53,770.0
1,54,762.0
1,54,762.0
1,55,755.0
1,55,755.0
1,56,750.0
1,56,750.0
1,57,744.0
1,57,744.0
1,58,738.0
1,58,738.0
1,59,731.0
1,59,731.0
1,60,723.0
1,60,723.0
1,61,717.0
1,61,717.0
1,62,710.0
1,62,710.0
1,63,704.0
1,63,704.0
1,64,696.0
1,64,696.0
1,65,690.0
1,65,690.0
1,66,682.0
1,66,682.0
1,67,677.0
1,67,677.0
1,68,671.0
1,68,671.0
1,69,662.0
1,69,662.0
1,70,656.0
1,70,656.0
1,71,649.0
1,71,649.0
1,72,642.0
1,72,642.0
1,73,634.0
1,73,634.0
1,74,626.0
1,74,626.0
1,75,620.0
1,75,620.0
1,76,614.0
1,76,614.0
1,77,605.0
1,77,605.0
1,78,596.0
1,78,596.0
1,79,590.0
1,79,590.0
1,80,585.0
1,80,585.0
1,81,575.0
1,81,575.0
1,82,566.0
1,82,566.0
1,83,558.0
1,83,558.0
1,84,552.0
1,84,552.0
1,85,542.0
1,85,542.0
1,86,536.0
1,86,536.0
1,87,527.0
1,87,527.0
1,88,518.0
1,88,518.0
1,89,511.0
1,89,511.0
1,90,503.0
1,90,503.0
1,91,497.0
1,91,497.0
1,92,488.0
1,92,488.0
1,93,485.0
1,93,485.0
1,94,479.0
1,94,479.0
1,95,475.0
1,95,475.0
1,96,472.0
1,96,472.0
1,97,471.0
1,97,471.0
1,98,467.0
1,98,467.0
1,99,466.0
1,99,466.0
1,100,465.0
1,100,465.0
1,101,463.0
1,101,463.0
1,102,465.0
1,102,465.0
1,103,463.0
1,103,463.0
1,104,462.0
1,104,462.0
1,105,462.0
1,105,462.0
1,106,463.0
1,106,463.0
1,107,462.0
1,107,462.0
1,108,461.0
1,108,461.0
1,109,460.0
1,109,460.0
1,110,460.0
1,110,460.0
1,111,459.0
1,111,459.0
1,112,459.0
1,112,459.0
1,113,459.0
1,113,459.0
1,114,459.0
1,114,459.0
1,115,459.0
1,115,459.0
1,116,458.0
1,116,458.0
1,117,459.0
1,117,459.0
1,118,457.0
1,118,457.0
1,119,457.0
1,119,457.0
1,120,458.0
1,120,458.0
1,121,459.0
1,121,459.0
1,122,456.0
1,122,456.0
1,123,458.0
1,123,458.0
1,124,456.0
1,124,456.0
1,125,457.0
1,125,457.0
1,126,458.0
1,126,458.0
1,127,457.0
1,127,457.0
1,128,456.0
1,128,456.0
1,129,456.0
1,129,456.0
1,130,456.0
1,130,456.0
1,131,456.0
1,131,456.0
1,132,457.0
1,132,457.0
1,133,456.0
1,133,456.0
1,134,455.0
1,134,455.0
1,135,455.0
1,135,455.0
