Wave Index,Frame Number,Center of Mass X Coord
1,36,625.0
1,37,618.0
1,37,618.0
1,38,611.0
1,38,611.0
1,39,603.0
1,39,603.0
1,40,595.0
1,40,595.0
1,41,586.0
1,41,586.0
1,42,579.0
1,42,579.0
1,43,570.0
1,43,570.0
1,44,562.0
1,44,562.0
1,45,555.0
1,45,555.0
1,46,547.0
1,46,547.0
1,47,537.0
1,47,537.0
1,48,528.0
1,48,528.0
1,49,520.0
1,49,520.0
1,50,511.0
1,50,511.0
1,51,502.0
1,51,502.0
1,52,494.0
1,52,494.0
1,53,484.0
1,53,484.0
1,54,475.0
1,54,475.0
1,55,465.0
1,55,465.0
1,56,456.0
1,56,456.0
1,57,448.0
1,57,448.0
1,58,438.0
1,58,438.0
1,59,431.0
1,59,431.0
1,60,420.0
1,60,420.0
1,61,412.0
1,61,412.0
1,62,403.0
1,62,403.0
1,63,393.0
1,63,393.0
1,64,384.0
1,64,384.0
1,65,375.0
1,65,375.0
1,66,366.0
1,66,366.0
1,67,359.0
1,67,359.0
1,68,349.0
1,68,349.0
1,69,341.0
1,69,341.0
1,70,334.0
1,70,334.0
1,71,325.0
1,71,325.0
1,72,318.0
1,72,318.0
1,73,308.0
1,73,308.0
1,74,301.0
1,74,301.0
1,75,293.0
1,75,293.0
1,76,286.0
1,76,286.0
1,77,280.0
1,77,280.0
1,78,272.0
1,78,272.0
1,79,265.0
1,79,265.0
1,80,256.0
1,80,256.0
1,81,250.0
1,81,250.0
1,82,244.0
1,82,244.0
1,83,238.0
1,83,238.0
1,84,231.0
1,84,231.0
1,85,224.0
1,85,224.0
1,86,217.0
1,86,217.0
1,87,210.0
1,87,210.0
1,88,205.0
1,88,205.0
1,89,200.0
1,89,200.0
1,90,194.0
1,90,194.0
1,91,189.0
1,91,189.0
1,92,184.0
1,92,184.0
1,93,181.0
1,93,181.0
1,94,178.0
1,94,178.0
1,95,175.0
1,95,175.0
1,96,172.0
1,96,172.0
1,97,172.0
1,97,172.0
1,98,170.0
1,98,170.0
1,99,169.0
1,99,169.0
1,100,169.0
1,100,169.0
1,101,168.0
1,101,168.0
1,102,167.0
1,102,167.0
1,103,166.0
1,103,166.0
1,104,166.0
1,104,166.0
1,105,166.0
1,105,166.0
1,106,165.0
1,106,165.0
1,107,164.0
1,107,164.0
1,108,165.0
1,108,165.0
1,109,164.0
1,109,164.0
1,110,164.0
1,110,164.0
1,111,164.0
1,111,164.0
1,112,164.0
1,112,164.0
1,113,164.0
1,113,164.0
1,114,164.0
1,114,164.0
1,115,163.0
1,115,163.0
1,116,164.0
1,116,164.0
1,117,163.0
1,117,163.0
1,118,163.0
1,118,163.0
1,119,163.0
1,119,163.0
1,120,162.0
1,120,162.0
1,121,163.0
1,121,163.0
1,122,163.0
1,122,163.0
1,123,162.0
1,123,162.0
1,124,162.0
1,124,162.0
1,125,162.0
1,125,162.0
1,126,162.0
1,126,162.0
1,127,162.0
1,127,162.0
1,128,162.0
1,128,162.0
1,129,162.0
1,129,162.0
1,130,161.0
1,130,161.0
1,131,161.0
1,131,161.0
1,132,161.0
1,132,161.0
1,133,162.0
1,133,162.0
1,134,161.0
1,134,161.0
1,135,161.0
1,135,161.0
1,136,162.0
1,136,162.0
1,137,161.0
1,137,161.0
1,138,160.0
1,138,160.0
1,139,160.0
1,139,160.0
1,140,161.0
1,140,161.0
1,141,160.0
1,141,160.0
1,142,161.0
1,142,161.0
1,143,161.0
1,143,161.0
1,144,160.0
1,144,160.0
1,145,161.0
1,145,161.0
1,146,161.0
1,146,161.0
1,147,161.0
1,147,161.0
1,148,160.0
1,148,160.0
1,149,160.0
1,149,160.0
1,150,160.0
1,150,160.0
1,151,161.0
1,151,161.0
1,152,161.0
1,152,161.0
1,153,161.0
1,153,161.0
1,154,161.0
1,154,161.0
1,155,161.0
1,155,161.0
1,156,160.0
1,156,160.0
1,157,161.0
1,157,161.0
2,36,665.0
2,37,657.0
2,37,657.0
2,38,650.0
2,38,650.0
2,39,643.0
2,39,643.0
2,40,635.0
2,40,635.0
2,41,627.0
2,41,627.0
2,42,619.0
2,42,619.0
2,43,611.0
2,43,611.0
2,44,604.0
2,44,604.0
2,45,594.0
2,45,594.0
2,46,586.0
2,46,586.0
2,47,578.0
2,47,578.0
2,48,570.0
2,48,570.0
2,49,559.0
2,49,559.0
2,50,551.0
2,50,551.0
2,51,544.0
2,51,544.0
2,52,533.0
2,52,533.0
2,53,525.0
2,53,525.0
2,54,516.0
2,54,516.0
2,55,507.0
2,55,507.0
2,56,496.0
2,56,496.0
2,57,488.0
2,57,488.0
2,58,477.0
2,58,477.0
2,59,469.0
2,59,469.0
2,60,461.0
2,60,461.0
2,61,452.0
2,61,452.0
2,62,442.0
2,62,442.0
2,63,435.0
2,63,435.0
2,64,425.0
2,64,425.0
2,65,415.0
2,65,415.0
2,66,406.0
2,66,406.0
2,67,399.0
2,67,399.0
2,68,390.0
2,68,390.0
2,69,381.0
2,69,381.0
2,70,374.0
2,70,374.0
2,71,366.0
2,71,366.0
2,72,359.0
2,72,359.0
2,73,349.0
2,73,349.0
2,74,342.0
2,74,342.0
2,75,333.0
2,75,333.0
2,76,327.0
2,76,327.0
2,77,320.0
2,77,320.0
2,78,312.0
2,78,312.0
2,79,305.0
2,79,305.0
2,80,298.0
2,80,298.0
2,81,292.0
2,81,292.0
2,82,284.0
2,82,284.0
2,83,278.0
2,83,278.0
2,84,271.0
2,84,271.0
2,85,264.0
2,85,264.0
2,86,259.0
2,86,259.0
2,87,252.0
2,87,252.0
2,88,246.0
2,88,246.0
2,89,241.0
2,89,241.0
2,90,236.0
2,90,236.0
2,91,230.0
2,91,230.0
2,92,225.0
2,92,225.0
2,93,221.0
2,93,221.0
2,94,218.0
2,94,218.0
2,95,215.0
2,95,215.0
2,96,213.0
2,96,213.0
2,97,212.0
2,97,212.0
2,98,211.0
2,98,211.0
2,99,210.0
2,99,210.0
2,100,210.0
2,100,210.0
2,101,209.0
2,101,209.0
2,102,208.0
2,102,208.0
2,103,207.0
2,103,207.0
2,104,207.0
2,104,207.0
2,105,208.0
2,105,208.0
2,106,207.0
2,106,207.0
2,107,206.0
2,107,206.0
2,108,205.0
2,108,205.0
2,109,205.0
2,109,205.0
2,110,205.0
2,110,205.0
2,111,205.0
2,111,205.0
2,112,204.0
2,112,204.0
2,113,204.0
2,113,204.0
2,114,205.0
2,114,205.0
2,115,204.0
2,115,204.0
2,116,204.0
2,116,204.0
2,117,204.0
2,117,204.0
2,118,204.0
2,118,204.0
2,119,205.0
2,119,205.0
2,120,203.0
2,120,203.0
2,121,203.0
2,121,203.0
2,122,203.0
2,122,203.0
2,123,203.0
2,123,203.0
2,124,203.0
2,124,203.0
2,125,204.0
2,125,204.0
2,126,202.0
2,126,202.0
2,127,203.0
2,127,203.0
2,128,202.0
2,128,202.0
2,129,204.0
2,129,204.0
2,130,203.0
2,130,203.0
2,131,203.0
2,131,203.0
2,132,202.0
2,132,202.0
2,133,203.0
2,133,203.0
2,134,202.0
2,134,202.0
