Wave Index,Frame Number,Center of Mass X Coord
1,3,147.0
1,3,147.0
1,3,147.0
1,4,148.0
1,4,148.0
1,4,148.0
1,4,148.0
1,5,148.0
1,5,148.0
1,5,148.0
1,5,148.0
1,6,146.0
1,6,146.0
1,6,146.0
1,6,146.0
1,7,147.0
1,7,147.0
1,7,147.0
1,7,147.0
1,8,147.0
1,8,147.0
1,8,147.0
1,8,147.0
1,9,147.0
1,9,147.0
1,9,147.0
1,9,147.0
1,10,149.0
1,10,149.0
1,10,149.0
1,10,149.0
1,11,146.0
1,11,146.0
1,11,146.0
1,11,146.0
1,12,146.0
1,12,146.0
1,12,146.0
1,12,146.0
1,13,149.0
1,13,149.0
1,13,149.0
1,13,149.0
1,14,144.0
1,14,144.0
1,14,144.0
1,14,144.0
1,15,145.0
1,15,145.0
1,15,145.0
1,15,145.0
1,16,145.0
1,16,145.0
1,16,145.0
1,16,145.0
1,17,147.0
1,17,147.0
1,17,147.0
1,17,147.0
1,18,146.0
1,18,146.0
1,18,146.0
1,18,146.0
1,19,144.0
1,19,144.0
1,19,144.0
1,19,144.0
1,20,143.0
1,20,143.0
1,20,143.0
1,20,143.0
1,21,142.0
1,21,142.0
1,21,142.0
1,21,142.0
1,22,143.0
1,22,143.0
1,22,143.0
1,22,143.0
1,23,141.0
1,23,141.0
1,23,141.0
1,23,141.0
1,24,141.0
1,24,141.0
1,24,141.0
1,24,141.0
1,25,144.0
1,25,144.0
1,25,144.0
1,25,144.0
1,26,139.0
1,26,139.0
1,26,139.0
1,26,139.0
1,27,134.0
1,27,134.0
1,27,134.0
1,27,134.0
1,28,129.0
1,28,129.0
1,28,129.0
1,28,129.0
1,29,126.0
1,29,126.0
1,29,126.0
1,29,126.0
1,30,117.0
1,30,117.0
1,30,117.0
1,30,117.0
1,31,110.0
1,31,110.0
1,31,110.0
1,31,110.0
1,32,106.0
1,32,106.0
1,32,106.0
1,32,106.0
1,33,99.0
1,33,99.0
1,33,99.0
1,33,99.0
1,34,91.0
1,34,91.0
1,34,91.0
1,34,91.0
1,35,83.0
1,35,83.0
1,35,83.0
1,35,83.0
1,36,77.0
1,36,77.0
1,36,77.0
1,36,77.0
1,37,72.0
1,37,72.0
1,37,72.0
1,37,72.0
1,38,64.0
1,38,64.0
1,38,64.0
1,38,64.0
1,39,58.0
1,39,58.0
1,39,58.0
1,39,58.0
1,40,52.0
1,40,52.0
1,40,52.0
1,40,52.0
1,41,44.0
1,41,44.0
1,41,44.0
1,41,44.0
1,42,38.0
1,42,38.0
1,42,38.0
1,42,38.0
1,43,28.0
1,43,28.0
1,43,28.0
1,43,28.0
1,44,20.0
1,44,20.0
1,44,20.0
1,44,20.0
2,3,187.0
2,3,187.0
2,3,187.0
2,4,186.0
2,4,186.0
2,4,186.0
2,4,186.0
2,5,185.0
2,5,185.0
2,5,185.0
2,5,185.0
2,6,188.0
2,6,188.0
2,6,188.0
2,6,188.0
2,7,186.0
2,7,186.0
2,7,186.0
2,7,186.0
2,8,189.0
2,8,189.0
2,8,189.0
2,8,189.0
2,9,188.0
2,9,188.0
2,9,188.0
2,9,188.0
2,10,186.0
2,10,186.0
2,10,186.0
2,10,186.0
2,11,187.0
2,11,187.0
2,11,187.0
2,11,187.0
2,12,183.0
2,12,183.0
2,12,183.0
2,12,183.0
2,13,188.0
2,13,188.0
2,13,188.0
2,13,188.0
2,14,187.0
2,14,187.0
2,14,187.0
2,14,187.0
2,15,188.0
2,15,188.0
2,15,188.0
2,15,188.0
2,16,186.0
2,16,186.0
2,16,186.0
2,16,186.0
2,17,185.0
2,17,185.0
2,17,185.0
2,17,185.0
2,18,186.0
2,18,186.0
2,18,186.0
2,18,186.0
2,19,185.0
2,19,185.0
2,19,185.0
2,19,185.0
2,20,182.0
2,20,182.0
2,20,182.0
2,20,182.0
2,21,183.0
2,21,183.0
2,21,183.0
2,21,183.0
2,22,182.0
2,22,182.0
2,22,182.0
2,22,182.0
2,23,181.0
2,23,181.0
2,23,181.0
2,23,181.0
2,24,182.0
2,24,182.0
2,24,182.0
2,24,182.0
2,25,179.0
2,25,179.0
2,25,179.0
2,25,179.0
2,26,179.0
2,26,179.0
2,26,179.0
2,26,179.0
2,27,174.0
2,27,174.0
2,27,174.0
2,27,174.0
2,28,167.0
2,28,167.0
2,28,167.0
2,28,167.0
2,29,163.0
2,29,163.0
2,29,163.0
2,29,163.0
2,30,157.0
2,30,157.0
2,30,157.0
2,30,157.0
2,31,146.0
2,31,146.0
2,31,146.0
2,31,146.0
2,32,141.0
2,32,141.0
2,32,141.0
2,32,141.0
2,33,136.0
2,33,136.0
2,33,136.0
2,33,136.0
2,34,129.0
2,34,129.0
2,34,129.0
2,34,129.0
2,35,125.0
2,35,125.0
2,35,125.0
2,35,125.0
2,36,117.0
2,36,117.0
2,36,117.0
2,36,117.0
2,37,109.0
2,37,109.0
2,37,109.0
2,37,109.0
2,38,103.0
2,38,103.0
2,38,103.0
2,38,103.0
2,39,97.0
2,39,97.0
2,39,97.0
2,39,97.0
2,40,89.0
2,40,89.0
2,40,89.0
2,40,89.0
2,41,81.0
2,41,81.0
2,41,81.0
2,41,81.0
2,42,73.0
2,42,73.0
2,42,73.0
2,42,73.0
2,43,69.0
2,43,69.0
2,43,69.0
2,43,69.0
2,44,59.0
2,44,59.0
2,44,59.0
2,44,59.0
3,36,337.0
3,36,337.0
3,36,337.0
3,36,337.0
3,37,325.0
3,37,325.0
3,37,325.0
3,37,325.0
3,38,317.0
3,38,317.0
3,38,317.0
3,38,317.0
3,39,310.0
3,39,310.0
3,39,310.0
3,39,310.0
3,40,322.0
3,40,322.0
3,40,322.0
3,40,322.0
3,41,313.0
3,41,313.0
3,41,313.0
3,41,313.0
3,42,309.0
3,42,309.0
3,42,309.0
3,42,309.0
3,43,318.0
3,43,318.0
3,43,318.0
3,43,318.0
3,44,311.0
3,44,311.0
3,44,311.0
3,44,311.0
3,45,302.0
3,45,302.0
3,45,302.0
3,45,302.0
3,46,297.0
3,46,297.0
3,46,297.0
3,46,297.0
3,47,291.0
3,47,291.0
3,47,291.0
3,47,291.0
3,48,283.0
3,48,283.0
3,48,283.0
3,48,283.0
3,49,279.0
3,49,279.0
3,49,279.0
3,49,279.0
3,50,270.0
3,50,270.0
3,50,270.0
3,50,270.0
3,51,265.0
3,51,265.0
3,51,265.0
3,51,265.0
3,52,259.0
3,52,259.0
3,52,259.0
3,52,259.0
3,53,256.0
3,53,256.0
3,53,256.0
3,53,256.0
3,54,251.0
3,54,251.0
3,54,251.0
3,54,251.0
3,55,246.0
3,55,246.0
3,55,246.0
3,55,246.0
3,56,245.0
3,56,245.0
3,56,245.0
3,56,245.0
3,57,243.0
3,57,243.0
3,57,243.0
3,57,243.0
3,58,240.0
3,58,240.0
3,58,240.0
3,58,240.0
3,59,240.0
3,59,240.0
3,59,240.0
3,59,240.0
3,60,240.0
3,60,240.0
3,60,240.0
3,60,240.0
3,61,238.0
3,61,238.0
3,61,238.0
3,61,238.0
3,62,237.0
3,62,237.0
3,62,237.0
3,62,237.0
3,63,238.0
3,63,238.0
3,63,238.0
3,63,238.0
3,64,235.0
3,64,235.0
3,64,235.0
3,64,235.0
3,65,236.0
3,65,236.0
3,65,236.0
3,65,236.0
3,66,235.0
3,66,235.0
3,66,235.0
3,66,235.0
3,67,234.0
3,67,234.0
3,67,234.0
3,67,234.0
3,68,233.0
3,68,233.0
3,68,233.0
3,68,233.0
3,69,233.0
3,69,233.0
3,69,233.0
3,69,233.0
3,70,232.0
3,70,232.0
3,70,232.0
3,70,232.0
3,71,233.0
3,71,233.0
3,71,233.0
3,71,233.0
3,72,233.0
3,72,233.0
3,72,233.0
3,72,233.0
3,73,231.0
3,73,231.0
3,73,231.0
3,73,231.0
3,74,220.0
3,74,220.0
3,74,220.0
3,74,220.0
4,43,282.0
4,43,282.0
4,43,282.0
4,43,282.0
4,44,271.0
4,44,271.0
4,44,271.0
4,44,271.0
4,45,264.0
4,45,264.0
4,45,264.0
4,45,264.0
4,46,259.0
4,46,259.0
4,46,259.0
4,46,259.0
4,47,251.0
4,47,251.0
4,47,251.0
4,47,251.0
4,48,247.0
4,48,247.0
4,48,247.0
4,48,247.0
4,49,239.0
4,49,239.0
4,49,239.0
4,49,239.0
4,50,232.0
4,50,232.0
4,50,232.0
4,50,232.0
4,51,226.0
4,51,226.0
4,51,226.0
4,51,226.0
4,52,222.0
4,52,222.0
4,52,222.0
4,52,222.0
4,53,215.0
4,53,215.0
4,53,215.0
4,53,215.0
4,54,209.0
4,54,209.0
4,54,209.0
4,54,209.0
4,55,207.0
4,55,207.0
4,55,207.0
4,55,207.0
4,56,204.0
4,56,204.0
4,56,204.0
4,56,204.0
