Wave Index,Frame Number,Center of Mass X Coord
1,17,150.0
1,17,150.0
1,17,150.0
1,17,150.0
1,18,149.0
1,18,149.0
1,18,149.0
1,18,149.0
1,19,148.0
1,19,148.0
1,19,148.0
1,19,148.0
1,20,149.0
1,20,149.0
1,20,149.0
1,20,149.0
1,21,149.0
1,21,149.0
1,21,149.0
1,21,149.0
1,22,147.0
1,22,147.0
1,22,147.0
1,22,147.0
1,23,148.0
1,23,148.0
1,23,148.0
1,23,148.0
1,24,148.0
1,24,148.0
1,24,148.0
1,24,148.0
1,25,147.0
1,25,147.0
1,25,147.0
1,25,147.0
1,26,145.0
1,26,145.0
1,26,145.0
1,26,145.0
1,27,139.0
1,27,139.0
1,27,139.0
1,27,139.0
1,28,133.0
1,28,133.0
1,28,133.0
1,28,133.0
1,29,129.0
1,29,129.0
1,29,129.0
1,29,129.0
1,30,123.0
1,30,123.0
1,30,123.0
1,30,123.0
1,31,120.0
1,31,120.0
1,31,120.0
1,31,120.0
1,32,117.0
1,32,117.0
1,32,117.0
1,32,117.0
1,33,116.0
1,33,122.0
1,33,116.0
1,33,122.0
1,33,116.0
1,33,122.0
1,33,116.0
1,33,122.0
1,34,120.0
1,34,120.0
1,34,120.0
1,34,120.0
1,35,126.0
1,35,126.0
1,35,126.0
1,35,126.0
1,36,123.0
1,36,123.0
1,36,123.0
1,36,123.0
1,37,120.0
1,37,120.0
1,37,120.0
1,37,120.0
1,38,114.0
1,38,121.0
1,38,114.0
1,38,121.0
1,38,114.0
1,38,121.0
1,38,114.0
1,38,121.0
2,42,622.0
2,42,622.0
2,42,622.0
2,42,622.0
2,43,616.0
2,43,616.0
2,43,616.0
2,43,616.0
2,44,609.0
2,44,609.0
2,44,609.0
2,44,609.0
2,45,602.0
2,45,602.0
2,45,602.0
2,45,602.0
2,46,594.0
2,46,594.0
2,46,594.0
2,46,594.0
2,47,586.0
2,47,586.0
2,47,586.0
2,47,586.0
2,48,580.0
2,48,580.0
2,48,580.0
2,48,580.0
2,49,572.0
2,49,572.0
2,49,572.0
2,49,572.0
2,50,566.0
2,50,566.0
2,50,566.0
2,50,566.0
2,51,574.0
2,51,582.0
2,51,574.0
2,51,582.0
2,51,574.0
2,51,582.0
2,51,574.0
2,51,582.0
2,52,587.0
2,52,587.0
2,52,587.0
2,52,587.0
2,53,584.0
2,53,584.0
2,53,584.0
2,53,584.0
2,54,577.0
2,54,577.0
2,54,577.0
2,54,577.0
2,55,574.0
2,55,574.0
2,55,574.0
2,55,574.0
2,56,568.0
2,56,568.0
2,56,568.0
2,56,568.0
2,57,567.0
2,57,567.0
2,57,567.0
2,57,567.0
2,58,567.0
2,58,567.0
2,58,567.0
2,58,567.0
2,59,565.0
2,59,565.0
2,59,565.0
2,59,565.0
2,60,559.0
2,60,559.0
2,60,559.0
2,60,559.0
2,61,557.0
2,61,557.0
2,61,557.0
2,61,557.0
2,62,555.0
2,62,564.0
2,62,555.0
2,62,564.0
2,62,555.0
2,62,564.0
2,62,555.0
2,62,564.0
2,63,557.0
2,63,557.0
2,63,557.0
2,63,557.0
2,64,554.0
2,64,562.0
2,64,554.0
2,64,562.0
2,64,554.0
2,64,562.0
2,64,554.0
2,64,562.0
2,65,554.0
2,65,554.0
2,65,554.0
2,65,554.0
2,66,554.0
2,66,554.0
2,66,554.0
2,66,554.0
2,67,552.0
2,67,552.0
2,67,552.0
2,67,552.0
2,68,555.0
2,68,555.0
2,68,555.0
2,68,555.0
2,69,554.0
2,69,554.0
2,69,554.0
2,69,554.0
2,70,552.0
2,70,552.0
2,70,552.0
2,70,552.0
2,71,551.0
2,71,551.0
2,71,551.0
2,71,551.0
2,72,552.0
2,72,552.0
2,72,552.0
2,72,552.0
2,73,548.0
2,73,548.0
2,73,548.0
2,73,548.0
2,74,545.0
2,74,545.0
2,74,545.0
2,74,545.0
2,75,550.0
2,75,550.0
2,75,550.0
2,75,550.0
2,76,550.0
2,76,550.0
2,76,550.0
2,76,550.0
2,77,550.0
2,77,550.0
2,77,550.0
2,77,550.0
2,78,548.0
2,78,548.0
2,78,548.0
2,78,548.0
2,79,545.0
2,79,554.0
2,79,545.0
2,79,554.0
2,79,545.0
2,79,554.0
2,79,545.0
2,79,554.0
2,80,549.0
2,80,549.0
2,80,549.0
2,80,549.0
2,81,550.0
2,81,550.0
2,81,550.0
2,81,550.0
2,82,548.0
2,82,548.0
2,82,548.0
2,82,548.0
2,83,549.0
2,83,549.0
2,83,549.0
2,83,549.0
2,84,547.0
2,84,547.0
2,84,547.0
2,84,547.0
2,85,543.0
2,85,543.0
2,85,543.0
2,85,543.0
2,86,534.0
2,86,534.0
2,86,534.0
2,86,534.0
3,51,554.0
3,51,554.0
3,51,554.0
3,51,554.0
3,52,547.0
3,52,547.0
3,52,547.0
3,52,547.0
3,53,545.0
3,53,545.0
3,53,545.0
3,53,545.0
3,54,537.0
3,54,537.0
3,54,537.0
3,54,537.0
3,55,532.0
3,55,532.0
3,55,532.0
3,55,532.0
3,56,526.0
3,56,526.0
3,56,526.0
3,56,526.0
3,57,526.0
3,57,526.0
3,57,526.0
3,57,526.0
3,58,524.0
3,58,524.0
3,58,524.0
3,58,524.0
3,59,523.0
3,59,523.0
3,59,523.0
3,59,523.0
3,60,520.0
3,60,520.0
3,60,520.0
3,60,520.0
3,61,519.0
3,61,519.0
3,61,519.0
3,61,519.0
3,62,517.0
3,62,517.0
3,62,517.0
3,62,517.0
3,63,518.0
3,63,518.0
3,63,518.0
3,63,518.0
3,64,514.0
3,64,514.0
3,64,514.0
3,64,514.0
3,65,516.0
3,65,516.0
3,65,516.0
3,65,516.0
3,66,517.0
3,66,517.0
3,66,517.0
3,66,517.0
3,67,514.0
3,67,514.0
3,67,514.0
3,67,514.0
3,68,513.0
3,68,513.0
3,68,513.0
3,68,513.0
3,69,514.0
3,69,514.0
3,69,514.0
3,69,514.0
3,70,513.0
3,70,513.0
3,70,513.0
3,70,513.0
3,71,514.0
